Protein	Protein ID	Entry Name	Gene	Description	14WIS Spectral Count	14WS Spectral Count	34WIS Spectral Count	34WS Spectral Count	39WIS Spectral Count	39WS Spectral Count	46WIS Spectral Count	46WS Spectral Count	55WIS Spectral Count	55WS Spectral Count	61WIS Spectral Count	61WS Spectral Count	80WIS Spectral Count	80WS Spectral Count	82WIS Spectral Count	82WS Spectral Count
tr|H9H396|H9H396_MACMU	H9H396	H9H396_MACMU	SERPINB6	Serpin family B member 6	73	347	62	183	77	188	73	247	142	317	61	140	75	190	164	233
tr|F6TII3|F6TII3_MACMU	F6TII3	F6TII3_MACMU	ACTG1	Actin gamma 1	119	69	156	96	149	69	137	80	174	93	148	72	118	59	242	83
tr|A0A5F7ZL92|A0A5F7ZL92_MACMU	A0A5F7ZL92	A0A5F7ZL92_MACMU	ALDH1A1	Aldehyde dehydrogenase 1 family member A1	94	114	60	95	76	104	59	94	124	148	58	99	116	116	153	122
CONT_010|gi|136429|sp|P00761|TRYP_PIG	CONT_010|gi|136429|sp|P00761|TRYP_PIG TRYPSIN PRECURSOR [Sus scrofa].	CONT_010|gi|136429|sp|P00761|TRYP_PIG TRYPSIN PRECURSOR [Sus scrofa].		CONT_010|gi|136429|sp|P00761|TRYP_PIG TRYPSIN PRECURSOR [Sus scrofa].	119	58	241	40	139	56	167	31	106	39	96	30	163	25	75	57
tr|I2CWU4|I2CWU4_MACMU	I2CWU4	I2CWU4_MACMU	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	91	63	79	123	80	124	107	101	101	90	73	95	70	58	130	55
tr|A0A5K1TXE9|A0A5K1TXE9_MACMU	A0A5K1TXE9	A0A5K1TXE9_MACMU	SPTAN1	"Spectrin alpha chain, brain isoform 2"	29	80	140	46	139	47	118	70	75	83	180	53	67	45	129	59
tr|F7AV55|F7AV55_MACMU	F7AV55	F7AV55_MACMU	LOC711450	Beta/gamma crystallin 'Greek key' domain-containing protein	29	143	34	141	43	159	27	133	49	91	37	105	22	119	28	84
tr|F6XTF7|F6XTF7_MACMU	F6XTF7	F6XTF7_MACMU	HSPB1	Heat shock protein beta-1	48	28	91	70	106	79	114	78	32	27	121	91	45	29	65	33
tr|F7F6H0|F7F6H0_MACMU	F7F6H0	F7F6H0_MACMU	PRDX6	Peroxiredoxin-6	42	72	44	80	67	74	56	85	66	77	53	70	74	73	65	55
tr|I0FIZ4|I0FIZ4_MACMU	I0FIZ4	I0FIZ4_MACMU	SPTBN1	Spectrin beta chain	54	40	118	25	128	24	108	38	67	43	134	30	61	27	92	28
tr|F7ABN9|F7ABN9_MACMU	F7ABN9	F7ABN9_MACMU	PLEC	Plectin	64	15	140	11	94	8	117	7	93	28	169	23	54	10	146	18
tr|A0A5F8A534|A0A5F8A534_MACMU	A0A5F8A534	A0A5F8A534_MACMU	CRYBA2	Crystallin beta A2	30	28	70	47	62	78	60	87	37	26	57	62	37	24	43	24
tr|F7D0V5|F7D0V5_MACMU	F7D0V5	F7D0V5_MACMU	GJA8	Gap junction protein	58	1	142	0	122	1	122	1	32	1	118	1	42	0	42	0
tr|G7N1N6|G7N1N6_MACMU	G7N1N6	G7N1N6_MACMU	VIM	Vimentin	18	9	113	13	79	19	76	27	19	6	116	27	14	9	62	5
tr|A0A1D5R1V1|A0A1D5R1V1_MACMU	A0A1D5R1V1	A0A1D5R1V1_MACMU	TUBA1C	Tubulin alpha chain	50	30	27	25	30	30	38	27	51	28	26	19	54	26	83	21
tr|H9ERL9|H9ERL9_MACMU	H9ERL9	H9ERL9_MACMU	BASP1	Brain abundant membrane attached signal protein 1	49	24	74	20	37	17	45	27	49	18	80	17	23	15	29	15
CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	"CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens]."	"CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens]."		"CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens]."	39	36	53	24	34	34	35	17	23	16	19	6	74	19	50	34
tr|H9FPH1|H9FPH1_MACMU	H9FPH1	H9FPH1_MACMU	PARK7	protein deglycase	12	76	7	37	9	37	13	34	33	83	14	36	12	40	13	57
tr|A0A5F7ZL29|A0A5F7ZL29_MACMU	A0A5F7ZL29	A0A5F7ZL29_MACMU	ENO1	phosphopyruvate hydratase	20	17	35	38	58	29	56	34	27	28	45	43	17	14	32	16
tr|A7KK27|A7KK27_MACMU	A7KK27	A7KK27_MACMU	CRYGA	Crystallin gamma A	22	24	32	37	47	36	49	40	15	18	40	40	28	18	39	20
tr|F6YIY5|F6YIY5_MACMU	F6YIY5	F6YIY5_MACMU	FABP5	Fatty acid binding protein 5	17	28	17	62	17	38	23	69	20	24	27	49	16	30	22	30
tr|A0A5F8ARZ4|A0A5F8ARZ4_MACMU	A0A5F8ARZ4	A0A5F8ARZ4_MACMU	HSP90AA1	Heat shock protein 90 alpha family class A member 1	28	13	42	18	56	21	57	29	30	24	37	21	38	16	39	17
tr|F6UA63|F6UA63_MACMU	F6UA63	F6UA63_MACMU	ACTG2	"Actin gamma 2, smooth muscle"	38	19	26	22	33	23	31	25	51	27	41	15	34	19	57	25
tr|A0A1D5R5R6|A0A1D5R5R6_MACMU	A0A1D5R5R6	A0A1D5R5R6_MACMU	LGSN	"Lengsin, lens protein with glutamine synthetase domain"	31	26	37	48	47	26	33	18	32	22	18	24	33	21	39	16
sp|Q28514|GSTP1_MACMU	Q28514	GSTP1_MACMU	GSTP1	Glutathione S-transferase P	40	18	28	24	38	22	27	15	33	21	27	23	32	20	41	14
tr|F7H4E8|F7H4E8_MACMU	F7H4E8	F7H4E8_MACMU	ANK2	Ankyrin 2	24	1	70	10	48	5	58	6	25	13	68	10	18	6	48	7
CONT_005|Trypa5|PromTArt5	"CONT_005|Trypa5|PromTArt5 Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."	"CONT_005|Trypa5|PromTArt5 Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."		"CONT_005|Trypa5|PromTArt5 Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."	16	19	66	8	24	17	52	5	39	7	38	3	81	3	25	11
tr|F7HU87|F7HU87_MACMU	F7HU87	F7HU87_MACMU	PGM5	Phosphoglucomutase 5	32	16	30	24	31	13	34	12	40	25	18	11	34	11	59	13
tr|F6XVN0|F6XVN0_MACMU	F6XVN0	F6XVN0_MACMU	SORD	Sorbitol dehydrogenase	26	20	16	18	41	17	24	18	32	27	10	12	38	20	53	22
CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	"CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens]."	"CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens]."		"CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens]."	26	26	39	12	21	30	25	12	14	21	15	4	64	6	56	20
tr|F6ULB8|F6ULB8_MACMU	F6ULB8	F6ULB8_MACMU	ALDOC	Fructose-bisphosphate aldolase	41	18	23	35	16	13	17	18	34	28	12	20	24	32	34	19
tr|A0A1D5R147|A0A1D5R147_MACMU	A0A1D5R147	A0A1D5R147_MACMU		Pyruvate kinase	25	13	25	13	18	14	34	17	42	25	28	21	30	9	53	12
tr|F7EMC7|F7EMC7_MACMU	F7EMC7	F7EMC7_MACMU	GSS	Glutathione synthetase	13	32	6	25	10	32	13	35	35	37	11	23	13	28	34	27
tr|F6R1N2|F6R1N2_MACMU	F6R1N2	F6R1N2_MACMU	LDHA	L-lactate dehydrogenase	29	5	32	16	39	14	34	22	16	13	28	16	18	18	47	8
tr|I0FJ64|I0FJ64_MACMU	I0FJ64	I0FJ64_MACMU	TKT	Transketolase	12	52	6	19	11	25	10	23	19	55	4	24	11	25	23	27
tr|F6Z6R8|F6Z6R8_MACMU	F6Z6R8	F6Z6R8_MACMU	IPO5	Importin 5	13	15	27	14	44	15	36	21	20	15	27	14	14	9	47	6
tr|F7AW94|F7AW94_MACMU	F7AW94	F7AW94_MACMU	EEF1A1	Elongation factor 1-alpha	21	11	34	10	45	12	42	9	19	11	27	9	19	12	33	9
tr|I0FSL5|I0FSL5_MACMU	I0FSL5	I0FSL5_MACMU	PGK1	Phosphoglycerate kinase	14	19	6	26	10	22	14	28	16	36	9	31	13	24	20	32
tr|F6TQ14|F6TQ14_MACMU	F6TQ14	F6TQ14_MACMU	CA2	Carbonic anhydrase	8	17	19	21	31	21	24	17	15	11	14	17	28	11	23	12
tr|A0A1D5R1Y8|A0A1D5R1Y8_MACMU	A0A1D5R1Y8	A0A1D5R1Y8_MACMU	SLC2A1	"Solute carrier family 2, facilitated glucose transporter member 1"	31	0	45	0	48	0	48	0	19	0	37	0	25	0	22	0
tr|H9ELY9|H9ELY9_MACMU	H9ELY9	H9ELY9_MACMU	GDI2	Rab GDP dissociation inhibitor	22	10	12	15	5	13	17	13	27	20	7	9	25	6	44	11
tr|F7GCM2|F7GCM2_MACMU	F7GCM2	F7GCM2_MACMU	FLNA	Filamin A	5	17	24	8	22	5	24	7	22	23	33	10	8	9	15	11
tr|F7HBD4|F7HBD4_MACMU	F7HBD4	F7HBD4_MACMU	YWHAZ	14-3-3 protein zeta/delta	14	11	10	10	18	14	16	16	19	14	10	17	22	16	22	14
tr|F7AQQ3|F7AQQ3_MACMU	F7AQQ3	F7AQQ3_MACMU	KPNB1	Karyopherin subunit beta 1	6	4	28	13	41	6	29	14	11	8	26	8	9	4	26	5
CONT_068|gi|1082558|pir||S41161	"CONT_068|gi|1082558|pir||S41161 keratin 9, cytoskeletal [Homo sapiens]."	"CONT_068|gi|1082558|pir||S41161 keratin 9, cytoskeletal [Homo sapiens]."		"CONT_068|gi|1082558|pir||S41161 keratin 9, cytoskeletal [Homo sapiens]."	23	18	24	9	14	21	14	5	7	6	11	3	32	11	21	15
tr|A0A1D5Q5F5|A0A1D5Q5F5_MACMU	A0A1D5Q5F5	A0A1D5Q5F5_MACMU	GPI	Glucose-6-phosphate isomerase	17	7	8	12	26	16	22	13	15	12	15	13	9	9	34	4
tr|F7H0U5|F7H0U5_MACMU	F7H0U5	F7H0U5_MACMU	ARVCF	ARVCF delta catenin family member	9	4	33	3	33	2	32	3	11	4	38	4	18	3	20	1
tr|F7GFV8|F7GFV8_MACMU	F7GFV8	F7GFV8_MACMU	PCMT1	Protein-L-isoaspartate O-methyltransferase	8	17	11	10	12	14	11	16	11	18	8	11	10	15	12	13
tr|A0A5F8A0A5|A0A5F8A0A5_MACMU	A0A5F8A0A5	A0A5F8A0A5_MACMU	MSN	Moesin	7	4	16	5	11	4	20	9	23	12	22	9	15	5	30	2
tr|F6V7H4|F6V7H4_MACMU	F6V7H4	F6V7H4_MACMU	NRCAM	Neuronal cell adhesion molecule	12	0	32	0	26	0	36	0	8	0	55	0	7	0	12	0
tr|F7GNE4|F7GNE4_MACMU	F7GNE4	F7GNE4_MACMU	CTNNB1	Catenin beta-1	11	1	33	5	28	2	24	1	11	4	32	3	9	1	22	1
tr|A0A1D5R021|A0A1D5R021_MACMU	A0A1D5R021	A0A1D5R021_MACMU		Pyruvate kinase	15	6	10	7	15	6	14	8	19	11	12	7	20	7	23	6
tr|F6SYK0|F6SYK0_MACMU	F6SYK0	F6SYK0_MACMU	ALDOA	Fructose-bisphosphate aldolase	14	14	7	8	13	10	15	9	17	13	8	8	9	11	21	9
tr|F7B8E8|F7B8E8_MACMU	F7B8E8	F7B8E8_MACMU	CLTC	Clathrin heavy chain	7	4	16	7	30	5	30	8	6	5	20	6	5	3	27	6
CONT_072|gi|547754|sp|P35908|K22E_HUMAN	"CONT_072|gi|547754|sp|P35908|K22E_HUMAN KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens]."	"CONT_072|gi|547754|sp|P35908|K22E_HUMAN KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens]."		"CONT_072|gi|547754|sp|P35908|K22E_HUMAN KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens]."	7	12	20	7	7	15	13	7	8	9	7	3	22	4	26	14
tr|F6XQH6|F6XQH6_MACMU	F6XQH6	F6XQH6_MACMU	PRX	Periaxin	13	0	39	0	17	0	21	0	7	0	50	0	8	0	23	0
sp|P62940|PPIA_MACMU	P62940	PPIA_MACMU	PPIA	Peptidyl-prolyl cis-trans isomerase A	1	14	5	18	9	18	6	16	8	14	8	22	3	13	1	16
tr|F7F1L7|F7F1L7_MACMU	F7F1L7	F7F1L7_MACMU	COTL1	Coactosin like F-actin binding protein 1	18	7	8	3	10	5	5	7	12	10	8	9	16	6	37	8
tr|F7HH58|F7HH58_MACMU	F7HH58	F7HH58_MACMU	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	4	11	4	11	10	15	7	13	13	13	6	23	4	12	4	11
tr|A0A5F8APE3|A0A5F8APE3_MACMU	A0A5F8APE3	A0A5F8APE3_MACMU	SERPINB9	Serpin family B member 9	7	27	5	11	4	13	3	10	10	20	3	7	5	14	6	13
tr|F7GGM3|F7GGM3_MACMU	F7GGM3	F7GGM3_MACMU	PGAM1	Phosphoglycerate mutase	1	10	8	15	12	6	16	7	8	12	10	13	8	11	5	10
tr|I0FUX3|I0FUX3_MACMU	I0FUX3	I0FUX3_MACMU	YWHAE	14-3-3 protein epsilon	6	10	8	9	15	7	14	11	8	9	7	9	13	5	14	6
tr|A0A1D5RBB0|A0A1D5RBB0_MACMU	A0A1D5RBB0	A0A1D5RBB0_MACMU	UCHL1	Ubiquitin carboxyl-terminal hydrolase	1	13	1	12	11	5	9	10	7	16	3	16	5	16	7	17
tr|F6RLH5|F6RLH5_MACMU	F6RLH5	F6RLH5_MACMU	HSPA8	Heat shock cognate 71 kDa protein isoform 1	0	5	10	22	8	13	14	22	1	5	10	19	3	3	6	7
tr|F6SHZ8|F6SHZ8_MACMU	F6SHZ8	F6SHZ8_MACMU	NDRG1	N-myc downstream regulated 1	2	3	20	6	32	5	30	9	3	3	16	4	3	2	3	3
tr|A0A5F7ZEN7|A0A5F7ZEN7_MACMU	A0A5F7ZEN7	A0A5F7ZEN7_MACMU	GJA3	Gap junction protein	12	0	23	0	25	0	26	0	8	0	28	0	12	0	8	0
tr|F7BWK5|F7BWK5_MACMU	F7BWK5	F7BWK5_MACMU	EPB41L2	Erythrocyte membrane protein band 4.1 like 2	13	1	25	1	19	1	23	2	6	1	18	2	7	0	20	0
tr|H9ES33|H9ES33_MACMU	H9ES33	H9ES33_MACMU	AHCY	Adenosylhomocysteinase	1	17	0	15	0	15	0	13	7	21	0	12	5	11	2	19
tr|F7FED6|F7FED6_MACMU	F7FED6	F7FED6_MACMU	LSAMP	Limbic system associated membrane protein	3	0	19	0	30	0	18	0	10	0	33	0	9	0	13	0
sp|Q8HXQ0|SODC_MACMU	Q8HXQ0	SODC_MACMU	SOD1	Superoxide dismutase [Cu-Zn]	2	12	3	16	8	18	3	15	6	8	8	14	4	6	2	8
tr|F7HRU0|F7HRU0_MACMU	F7HRU0	F7HRU0_MACMU	G6PD	Glucose-6-phosphate 1-dehydrogenase	15	3	7	6	7	0	8	1	20	7	9	4	7	1	35	3
tr|A0A1D5QFC1|A0A1D5QFC1_MACMU	A0A1D5QFC1	A0A1D5QFC1_MACMU		Phosphatidylethanolamine binding protein 1	5	10	2	12	4	17	3	14	3	6	7	19	3	16	2	9
tr|A0A5F7ZD02|A0A5F7ZD02_MACMU	A0A5F7ZD02	A0A5F7ZD02_MACMU	CBR1	carbonyl reductase (NADPH)	11	10	5	10	7	3	5	8	15	8	4	4	16	4	20	2
tr|F7GIV7|F7GIV7_MACMU	F7GIV7	F7GIV7_MACMU	PGD	"6-phosphogluconate dehydrogenase, decarboxylating"	4	14	1	10	6	5	4	15	8	12	2	14	10	9	7	10
tr|A0A5F7ZPZ3|A0A5F7ZPZ3_MACMU	A0A5F7ZPZ3	A0A5F7ZPZ3_MACMU	DYNC1H1	Dynein cytoplasmic 1 heavy chain 1	6	1	18	5	20	1	28	2	8	2	8	2	5	2	17	0
tr|F7H6X2|F7H6X2_MACMU	F7H6X2	F7H6X2_MACMU	NME2	Nucleoside diphosphate kinase	2	18	0	9	1	11	0	8	10	24	0	11	5	9	7	10
tr|A0A5F7Z6W0|A0A5F7Z6W0_MACMU	A0A5F7Z6W0	A0A5F7Z6W0_MACMU	FN3KRP	protein-ribulosamine 3-kinase	13	4	10	5	10	7	9	4	12	5	8	7	8	3	14	5
tr|A0A1D5Q262|A0A1D5Q262_MACMU	A0A1D5Q262	A0A1D5Q262_MACMU	GDI1	Rab GDP dissociation inhibitor	9	2	5	5	5	6	8	10	12	7	5	5	11	4	16	4
tr|A0A1D5QYR5|A0A1D5QYR5_MACMU	A0A1D5QYR5	A0A1D5QYR5_MACMU	TUBB2B	Tubulin beta chain	7	2	12	1	13	1	26	1	5	1	18	3	5	2	15	2
tr|G7MDZ6|G7MDZ6_MACMU	G7MDZ6	G7MDZ6_MACMU	CCT3	T-complex protein 1 subunit gamma	7	1	9	3	13	3	16	6	9	1	7	3	8	5	16	5
tr|A0A5F8A7N3|A0A5F8A7N3_MACMU	A0A5F8A7N3	A0A5F8A7N3_MACMU	AQP5	Aquaporin-5	17	0	8	0	18	0	16	0	9	0	18	0	8	0	14	0
tr|G7MXF7|G7MXF7_MACMU	G7MXF7	G7MXF7_MACMU	CFL2	Cofilin-2	13	0	19	1	15	1	18	1	7	1	13	1	6	0	10	1
tr|F7GZ13|F7GZ13_MACMU	F7GZ13	F7GZ13_MACMU	FLNC	Filamin C	6	3	12	2	8	1	10	1	7	8	15	2	6	6	14	5
tr|F6W871|F6W871_MACMU	F6W871	F6W871_MACMU	EPB41	Protein 4.1	9	1	11	2	10	2	9	1	9	3	17	2	6	3	16	4
tr|F6YFG3|F6YFG3_MACMU	F6YFG3	F6YFG3_MACMU	CTNNA2	Catenin alpha 2	2	3	16	5	16	0	12	4	2	5	24	3	1	1	9	1
tr|F7HKH3|F7HKH3_MACMU	F7HKH3	F7HKH3_MACMU	LCTL	Lactase like	9	0	13	1	7	0	18	0	9	0	22	1	11	0	11	0
tr|A0A5K1V3J7|A0A5K1V3J7_MACMU	A0A5K1V3J7	A0A5K1V3J7_MACMU	VCP	Transitional endoplasmic reticulum ATPase	0	0	13	8	23	5	16	8	1	3	11	6	1	2	2	1
sp|Q28522|ALBU_MACMU	Q28522	ALBU_MACMU	ALB	Albumin (Fragment)	20	25	4	8	4	11	2	9	2	4	2	4	0	1	0	1
tr|F7AI55|F7AI55_MACMU	F7AI55	F7AI55_MACMU	LIM2	Lens fiber membrane intrinsic protein	6	0	19	0	17	1	12	0	8	0	12	0	4	0	14	1
tr|F6WI86|F6WI86_MACMU	F6WI86	F6WI86_MACMU	CDH2	Cadherin 2	5	2	14	1	13	0	15	1	6	0	24	1	3	0	8	0
tr|A0A5F8ADC5|A0A5F8ADC5_MACMU	A0A5F8ADC5	A0A5F8ADC5_MACMU	ARF1	ADP ribosylation factor 1	2	5	6	4	12	7	8	5	7	3	6	2	7	3	9	4
tr|G7MPT7|G7MPT7_MACMU	G7MPT7	G7MPT7_MACMU	ME1	Malic enzyme	8	5	1	9	2	5	3	3	11	12	1	2	7	3	11	6
tr|A0A1D5Q1R6|A0A1D5Q1R6_MACMU	A0A1D5Q1R6	A0A1D5Q1R6_MACMU	ADH5	S-(hydroxymethyl)glutathione dehydrogenase	5	5	1	5	6	3	4	5	7	3	2	6	12	4	14	6
tr|G7MGP8|G7MGP8_MACMU	G7MGP8	G7MGP8_MACMU	PRDX1	Peroxiredoxin-1	4	7	1	8	3	6	3	10	6	7	2	9	3	6	7	3
sp|P15426|TPIS_MACMU	P15426	TPIS_MACMU	TPI1	Triosephosphate isomerase	5	1	2	5	9	8	8	7	4	2	7	9	2	2	7	3
tr|F7BPI7|F7BPI7_MACMU	F7BPI7	F7BPI7_MACMU	TP53I3	Tumor protein p53 inducible protein 3	3	5	3	8	3	8	3	10	6	8	3	7	2	2	6	4
tr|H9EMN0|H9EMN0_MACMU	H9EMN0	H9EMN0_MACMU	CAND1	Cullin associated and neddylation dissociated 1	6	2	9	3	13	1	12	3	5	3	8	1	4	1	9	1
tr|F7HT50|F7HT50_MACMU	F7HT50	F7HT50_MACMU	ATP6V1A	H(+)-transporting two-sector ATPase	6	0	6	2	4	0	10	1	8	4	9	2	10	1	13	3
tr|F6QRF8|F6QRF8_MACMU	F6QRF8	F6QRF8_MACMU	TUBA1B	Tubulin alpha chain	5	5	6	3	3	2	3	4	6	4	2	3	12	3	13	4
tr|A0A1D5QSK0|A0A1D5QSK0_MACMU	A0A1D5QSK0	A0A1D5QSK0_MACMU	WDR1	WD repeat domain 1	6	1	6	3	3	2	5	2	8	2	7	2	6	2	20	2
tr|A0A1D5Q1K7|A0A1D5Q1K7_MACMU	A0A1D5Q1K7	A0A1D5Q1K7_MACMU	AKR1B1	Aldo-keto reductase family 1 member B	3	9	1	6	1	5	2	7	6	10	2	3	3	3	4	7
tr|A0A5F7ZM62|A0A5F7ZM62_MACMU	A0A5F7ZM62	A0A5F7ZM62_MACMU	SMCO3	Single-pass membrane protein with coiled-coil domains 3	9	0	13	1	15	1	8	1	1	2	6	1	6	1	6	1
tr|H9ZFL2|H9ZFL2_MACMU	H9ZFL2	H9ZFL2_MACMU	NPEPPS	Aminopeptidase	10	1	4	3	4	0	5	2	8	2	6	2	3	1	20	1
tr|A0A5F8ADH8|A0A5F8ADH8_MACMU	A0A5F8ADH8	A0A5F8ADH8_MACMU		Eukaryotic translation initiation factor 4A1	8	4	7	2	9	3	6	1	7	2	4	1	5	1	11	0
CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	"CONT_079|gi|125105|sp|P13647|K2C5_HUMAN KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens]."	"CONT_079|gi|125105|sp|P13647|K2C5_HUMAN KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens]."		"CONT_079|gi|125105|sp|P13647|K2C5_HUMAN KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens]."	1	10	6	0	2	4	2	2	2	0	1	0	11	1	25	3
tr|A0A1D5RDC8|A0A1D5RDC8_MACMU	A0A1D5RDC8	A0A1D5RDC8_MACMU	CCT7	T-complex protein 1 subunit eta	5	1	9	0	6	1	13	2	7	0	6	0	3	1	15	0
tr|H9G1L0|H9G1L0_MACMU	H9G1L0	H9G1L0_MACMU	CCT6A	Chaperonin containing TCP1 subunit 6A	7	0	8	1	9	1	10	1	6	0	6	3	2	2	13	0
tr|A0A1D5QFJ9|A0A1D5QFJ9_MACMU	A0A1D5QFJ9	A0A1D5QFJ9_MACMU		Ubiquitin-like domain-containing protein	2	6	5	5	5	4	3	3	4	7	4	5	1	5	4	5
tr|F7H5C8|F7H5C8_MACMU	F7H5C8	F7H5C8_MACMU	CRYGN	Crystallin gamma N	2	3	7	3	6	6	10	6	4	1	2	1	5	3	7	2
tr|H9EVV9|H9EVV9_MACMU	H9EVV9	H9EVV9_MACMU	TDRD7	Tudor domain-containing protein 7	7	0	9	3	7	0	10	0	5	0	7	1	7	1	10	1
CONT_126|gi|2147315|pir||I51211	"CONT_126|gi|2147315|pir||I51211 cytoskeletal protein CP 49 (fragment) [chickens, lens fiber cells, Peptide Partial, 241 aa]."	"CONT_126|gi|2147315|pir||I51211 cytoskeletal protein CP 49 (fragment) [chickens, lens fiber cells, Peptide Partial, 241 aa]."		"CONT_126|gi|2147315|pir||I51211 cytoskeletal protein CP 49 (fragment) [chickens, lens fiber cells, Peptide Partial, 241 aa]."	8	0	10	0	8	1	11	0	5	0	11	0	3	0	9	1
